,paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
44,c2ozZYoZFd,8.0,Accept,2.67,Reject,Reject,NO,0.0,0.0,2.0,4.0,2.0,,,,
45,SsUjdSVdUl,6.0,Accept,5.0,Accept (Poster),Accept,YES,0.0,0.0,6.0,4.0,4.0,6.0,,,
46,lWdxX5s9T1,-100.0,Accept,4.5,Accept (Poster),Accept,YES,0.0,0.0,4.0,6.0,4.0,4.0,,,
47,JhziZbaefH,3.0,Reject,2.5,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,2.0,2.0,4.0,2.0,,,
48,RpDJz00zNh,5.0,Accept,4.5,Reject,Reject,NO,0.0,0.0,4.0,6.0,4.0,4.0,,,
49,NcvmuiLuZn,6.0,Reject,2.5,Reject,Reject,YES,0.0,0.0,4.0,2.0,2.0,2.0,,,
50,Hf7jMztvve,1.0,Reject,4.67,Reject,Reject,YES,0.0,0.0,2.0,6.0,6.0,,,,
51,RlMCc0JTu4,3.0,Reject,0.0,Reject,Reject,YES,0.0,0.0,0.0,0.0,0.0,0.0,,,
52,WxTlAbRUE6,6.0,Reject,2.5,Reject,Reject,YES,0.0,0.0,2.0,4.0,2.0,2.0,,,
53,7L7kmHHfgf,6.0,Accept,5.5,Accept (Poster),Accept,YES,0.0,0.0,4.0,6.0,6.0,6.0,,,
54,5asbtzIVpS,6.0,Accept,5.5,Accept (Poster),Accept,YES,0.0,0.0,4.0,6.0,4.0,8.0,,,
55,kpLRYtPGt3,6.0,Accept,7.0,Accept (Oral),Accept,YES,0.0,0.0,6.0,8.0,6.0,8.0,,,
56,oiz0QHejVj,6.0,Accept,4.5,Reject,Reject,NO,0.0,0.0,4.0,6.0,4.0,4.0,,,
57,VjGU55hEwV,3.0,Accept,2.5,Reject,Reject,NO,0.0,0.0,2.0,2.0,2.0,4.0,,,
58,6P5sAycAQr,3.0,Reject,3.0,Reject,Reject,YES,0.0,0.0,6.0,2.0,2.0,2.0,,,
59,zqA7Q9Q21L,3.0,Reject,5.6,Accept (Poster),Accept,NO,0.0,0.0,8.0,4.0,4.0,8.0,4.0,,
60,2cq8FyBfDk,5.0,Accept,3.2,Reject,Reject,NO,0.0,0.0,2.0,0.0,4.0,4.0,6.0,,
61,55GsILa8c9,6.0,Accept,6.0,Reject,Reject,NO,0.0,0.0,6.0,4.0,6.0,8.0,,,
62,X2yzXtH4wp,8.0,Accept,5.33,Accept (Poster),Accept,YES,0.0,0.0,6.0,6.0,4.0,,,,
63,i9q9xDMjG7,6.0,Accept,6.5,Accept (Poster),Accept,YES,0.0,0.0,8.0,6.0,6.0,6.0,,,
64,2PJkG6aV4A,6.0,Accept,6.0,Reject,Reject,NO,0.0,0.0,4.0,8.0,8.0,4.0,,,
65,ocmGsqQWG2,6.0,Reject,2.0,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,2.0,2.0,2.0,2.0,,,
66,xVB9AivJa5,5.0,Reject,1.33,Reject,Reject,YES,0.0,0.0,0.0,2.0,2.0,,,,
67,JjJzbMDGsx,6.0,Accept,7.0,Accept (Poster),Accept,YES,0.0,0.0,8.0,6.0,6.0,8.0,,,
68,eETr3lrOQB,6.0,Reject,4.5,Accept (Poster),Accept,NO,0.0,0.0,4.0,8.0,2.0,4.0,,,
69,lJqssVKeR7,6.0,Accept,5.6,Accept (Poster),Accept,YES,0.0,0.0,8.0,4.0,6.0,4.0,6.0,,
70,wVGfJxM2Nz,5.0,Reject,2.0,Reject,Reject,YES,0.0,0.0,2.0,2.0,2.0,2.0,,,
71,b8TlYh6PN6,6.0,Accept,8.0,Accept (Oral),Accept,YES,0.0,0.0,8.0,8.0,8.0,8.0,,,
72,20DsUSauCj,6.0,Accept,3.33,Reject,Reject,NO,0.0,0.0,2.0,4.0,4.0,,,,
73,ulXBsAYSwU,6.0,Reject,1.33,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,2.0,2.0,0.0,,,,
74,8J3GTeQmwl,6.0,Accept,5.5,Accept (Poster),Accept,YES,0.0,0.0,4.0,8.0,4.0,6.0,,,
75,qPbDM5L8tE,6.0,Reject,2.5,Reject,Reject,YES,0.0,0.0,2.0,2.0,2.0,4.0,,,
76,nxmBUymHIQ,5.0,Reject,4.5,Reject,Reject,YES,0.0,0.0,4.0,2.0,4.0,8.0,,,
77,uP6RDWHcs7,3.0,Accept,1.33,Withdrawn (treated as Reject),Reject,NO,0.0,0.0,2.0,0.0,2.0,,,,
78,m18MXVdrV9,6.0,Accept,5.5,Accept (Poster),Accept,YES,0.0,0.0,4.0,6.0,6.0,6.0,,,
79,U6ROetm5nW,6.0,Accept,4.5,Withdrawn (treated as Reject),Reject,NO,0.0,0.0,8.0,6.0,2.0,2.0,,,
80,QSPKIO3XV8,5.0,Reject,3.0,Reject,Reject,YES,0.0,0.0,0.0,4.0,4.0,4.0,,,
81,OUQ8kLRK3m,5.0,Reject,4.0,Reject,Reject,YES,0.0,0.0,6.0,2.0,2.0,6.0,,,
82,WwDNiisZQm,6.0,Accept,4.0,Accept (Poster),Accept,YES,0.0,0.0,6.0,2.0,4.0,4.0,,,
83,6vX0LH9Yt7,6.0,Reject,3.0,Reject,Reject,YES,0.0,0.0,4.0,4.0,2.0,2.0,,,
84,XIAta0WOJ6,6.0,Accept,6.0,Accept (Poster),Accept,YES,0.0,0.0,8.0,6.0,6.0,4.0,,,
85,mHRuCmc9lo,6.0,Accept,7.33,Accept (Poster),Accept,YES,0.0,0.0,6.0,8.0,8.0,,,,
86,kMfVTka2WB,1.0,Reject,2.0,Reject,Reject,YES,0.0,0.0,2.0,2.0,2.0,2.0,,,
87,SkmkGKEZ1U,3.0,Reject,0.5,Reject,Reject,YES,0.0,0.0,0.0,0.0,2.0,0.0,,,
88,yPfBP3EFGG,5.0,Reject,3.5,Reject,Reject,YES,0.0,0.0,4.0,4.0,2.0,4.0,,,
89,TjAhTNzRub,6.0,Accept,4.5,Reject,Reject,NO,0.0,0.0,4.0,6.0,4.0,4.0,,,
90,s7gSTR2AqA,6.0,Accept,6.0,Accept (Poster),Accept,YES,0.0,0.0,4.0,8.0,6.0,,,,
91,PFhrOUJZ5o,6.0,Accept,5.0,Reject,Reject,NO,0.0,0.0,4.0,4.0,6.0,6.0,,,
92,Iq1fNZus2W,6.0,Accept,3.0,Withdrawn (treated as Reject),Reject,NO,0.0,0.0,2.0,2.0,4.0,4.0,,,
93,yBpzF8hp3J,6.0,Accept,6.5,Accept (Oral),Accept,YES,0.0,0.0,6.0,6.0,6.0,8.0,,,
94,mkl9iIXIr2,6.0,Accept,5.33,Accept (Poster),Accept,YES,0.0,0.0,4.0,6.0,6.0,,,,
95,a4S1nQay3b,6.0,Accept,7.0,Accept (Oral),Accept,YES,0.0,0.0,8.0,6.0,6.0,8.0,,,
96,xFo13SaHQm,8.0,Accept,6.5,Accept (Poster),Accept,YES,0.0,0.0,6.0,6.0,6.0,8.0,,,
97,P1qlqfRtgo,3.0,Reject,2.0,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,2.0,2.0,2.0,2.0,,,
98,6i1jVAYbHs,6.0,Reject,6.0,Accept (Poster),Accept,NO,0.0,0.0,4.0,4.0,8.0,8.0,,,
99,D5PJX02Jki,6.0,Accept,6.0,Accept (Poster),Accept,YES,0.0,0.0,8.0,6.0,4.0,6.0,,,
100,173Pq3F31r,5.0,Accept,5.5,Accept (Poster),Accept,YES,0.0,0.0,8.0,8.0,4.0,2.0,,,
101,lbLAgGF8OO,6.0,Accept,7.5,Accept (Poster),Accept,YES,0.0,0.0,8.0,6.0,8.0,8.0,,,
102,3YKeB9R1g9,8.0,Accept,8.0,Accept (Poster),Accept,YES,0.0,0.0,8.0,8.0,8.0,,,,
103,dIOYpj9K8P,6.0,Accept,6.67,Accept (Poster),Accept,YES,0.0,0.0,6.0,8.0,6.0,,,,
104,Pa6ak2B9jJ,6.0,Accept,5.33,Accept (Poster),Accept,YES,0.0,0.0,6.0,6.0,4.0,,,,
105,FlcMckO6x5,8.0,Accept,6.0,Accept (Poster),Accept,YES,0.0,0.0,6.0,8.0,4.0,6.0,,,
106,qSak1Hjfdq,8.0,Reject,5.0,Accept (Poster),Accept,NO,0.0,0.0,4.0,6.0,4.0,6.0,,,
107,khHNHzRjMy,6.0,Reject,3.0,Reject,Reject,YES,0.0,0.0,6.0,2.0,2.0,2.0,,,
108,r5Ii1GTEWj,3.0,Reject,2.0,Reject,Reject,YES,0.0,0.0,2.0,2.0,2.0,2.0,,,
109,VK5G3Ff4Ty,5.0,Reject,2.5,Reject,Reject,YES,0.0,0.0,2.0,6.0,0.0,2.0,,,
110,9h2c2rMSY1,3.0,Accept,3.33,Reject,Reject,NO,0.0,0.0,2.0,2.0,6.0,,,,
111,uXecy0nKiJ,5.0,Accept,4.5,Reject,Reject,NO,0.0,0.0,4.0,2.0,6.0,6.0,,,
112,zHdKaF3ZM7,8.0,Reject,7.2,Accept (Poster),Accept,NO,0.0,0.0,8.0,8.0,6.0,6.0,8.0,,
113,ZZFNyU3ZSo,6.0,Reject,4.67,Reject,Reject,YES,0.0,0.0,4.0,4.0,6.0,,,,
114,BGEdvJ35PV,6.0,Accept,3.33,Reject,Reject,NO,0.0,0.0,4.0,2.0,4.0,,,,
115,lSM6MtjQcM,6.0,Reject,5.5,Accept (Poster),Accept,NO,0.0,0.0,2.0,6.0,10.0,4.0,,,
116,USyGD0eUod,6.0,Reject,6.0,Accept (Poster),Accept,NO,0.0,0.0,6.0,8.0,4.0,,,,
117,ao7VBbvWIK,5.0,Reject,1.0,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,2.0,0.0,,,,,
118,e26MPyczN9,5.0,Accept,4.0,Reject,Reject,NO,0.0,0.0,4.0,4.0,4.0,6.0,2.0,,
119,XHzrBDzKaX,6.0,Accept,5.0,Reject,Reject,NO,0.0,0.0,4.0,8.0,4.0,4.0,,,
120,4fm4Rc5fUK,6.0,Accept,4.67,Reject,Reject,NO,0.0,0.0,2.0,6.0,6.0,,,,
121,2za3iNkwXn,6.0,Reject,4.4,Accept (Poster),Accept,NO,0.0,0.0,4.0,4.0,4.0,4.0,6.0,,
122,3V559xWIWc,6.0,Accept,4.5,Reject,Reject,NO,0.0,0.0,4.0,6.0,6.0,2.0,,,
123,HA8vzzT6Ax,6.0,Accept,6.67,Accept (Poster),Accept,YES,0.0,0.0,6.0,6.0,8.0,6.0,8.0,6.0,
124,1EdAn5gMVv,5.0,Accept,5.0,Reject,Reject,NO,0.0,0.0,6.0,8.0,2.0,4.0,,,
125,36CzrZYEch,6.0,Accept,4.0,Reject,Reject,NO,0.0,0.0,2.0,2.0,6.0,6.0,,,
126,TX4k7BF6aO,6.0,Accept,5.33,Accept (Poster),Accept,YES,0.0,0.0,4.0,4.0,8.0,,,,
127,wkVsKDnl4s,6.0,Reject,1.0,Reject,Reject,YES,0.0,0.0,2.0,0.0,2.0,0.0,,,
128,WgMZPsdJmC,3.0,Reject,0.5,Reject,Reject,YES,0.0,0.0,0.0,0.0,2.0,0.0,,,
129,c7OsKOOZo8,8.0,Accept,4.5,Withdrawn (treated as Reject),Reject,NO,0.0,0.0,6.0,4.0,4.0,4.0,,,
130,ZBhZT307xx,6.0,Reject,3.0,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,4.0,2.0,4.0,2.0,,,
131,4S5x8yhJ5H,3.0,Reject,0.0,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,0.0,0.0,0.0,,,,
132,zftquoHTgS,5.0,Accept,4.0,Reject,Reject,NO,0.0,0.0,8.0,2.0,4.0,2.0,,,
133,rzGEfYr2ZC,5.0,Reject,0.0,Reject,Reject,YES,0.0,0.0,0.0,0.0,0.0,,,,
134,DB2KJKFX0d,5.0,Accept,3.5,Reject,Reject,NO,0.0,0.0,6.0,4.0,2.0,2.0,,,
135,5qd7V5TNGV,5.0,Reject,5.0,Reject,Reject,YES,0.0,0.0,4.0,6.0,2.0,8.0,,,
136,HHYd4Pz5Lp,6.0,Accept,1.33,Withdrawn (treated as Reject),Reject,NO,0.0,0.0,0.0,2.0,2.0,,,,
137,ZF0xRAdsuY,8.0,Accept,7.5,Accept (Poster),Accept,YES,0.0,0.0,10.0,8.0,6.0,6.0,,,
138,y7VeiCT7HG,3.0,Reject,3.0,Reject,Reject,YES,0.0,0.0,4.0,2.0,2.0,4.0,,,
139,ey7CXUBn1g,6.0,Reject,3.0,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,2.0,2.0,4.0,4.0,,,
140,4Nsx2kZkex,3.0,Reject,1.0,Reject,Reject,YES,0.0,0.0,0.0,2.0,0.0,2.0,,,
141,mGeeRFToaW,6.0,Reject,5.2,Accept (Poster),Accept,NO,0.0,0.0,6.0,2.0,4.0,8.0,6.0,,
142,v05SW2X3IC,6.0,Accept,5.33,Accept (Poster),Accept,YES,0.0,0.0,6.0,6.0,4.0,,,,
143,4nOZBufbLC,6.0,Accept,5.6,Accept (Poster),Accept,YES,0.0,0.0,4.0,6.0,6.0,4.0,8.0,,
144,jZcWBV3Pis,5.0,Reject,3.0,Reject,Reject,YES,0.0,0.0,2.0,2.0,2.0,6.0,,,
145,GiItKTlJIB,5.0,Reject,3.0,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,2.0,4.0,2.0,4.0,,,
146,Xn33bU71m4,3.0,Reject,1.33,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,2.0,2.0,0.0,,,,
147,0TmVqOpBbK,6.0,Accept,6.5,Accept (Poster),Accept,YES,0.0,0.0,6.0,8.0,4.0,8.0,,,
148,VbTLgEUocp,6.0,Reject,7.0,Accept (Poster),Accept,NO,0.0,0.0,6.0,8.0,8.0,6.0,,,
149,NIvqiJ8R4J,6.0,Reject,5.0,Reject,Reject,YES,0.0,0.0,4.0,6.0,2.0,8.0,,,
150,FF9QVQduAu,6.0,Accept,5.0,Accept (Poster),Accept,YES,0.0,0.0,2.0,6.0,4.0,8.0,,,
151,cVX3VqO8BO,6.0,Accept,5.5,Accept (Poster),Accept,YES,0.0,0.0,6.0,2.0,8.0,6.0,,,
152,nzkObUsajY,6.0,Accept,4.0,Reject,Reject,NO,0.0,0.0,2.0,4.0,6.0,4.0,,,
153,YADyx3ieUX,3.0,Reject,1.0,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,0.0,2.0,0.0,2.0,,,
154,zNH3Sf404X,5.0,Reject,1.33,Reject,Reject,YES,0.0,0.0,2.0,0.0,2.0,,,,
155,cSpjHOf04S,6.0,Accept,5.0,Accept (Poster),Accept,YES,0.0,0.0,2.0,4.0,8.0,6.0,,,
156,XKLPlnfZzM,5.0,Reject,3.5,Reject,Reject,YES,0.0,0.0,6.0,4.0,2.0,2.0,,,
157,3icvqeC1sA,6.0,Accept,4.5,Reject,Reject,NO,0.0,0.0,6.0,2.0,4.0,6.0,,,
158,23Ea4fVGiI,5.0,Reject,0.67,Reject,Reject,YES,0.0,0.0,2.0,0.0,0.0,,,,
159,jJedqisfOt,8.0,Reject,5.0,Accept (Poster),Accept,NO,0.0,0.0,6.0,2.0,6.0,6.0,,,
160,vGkXf8nvt9,5.0,Reject,4.67,Reject,Reject,YES,0.0,0.0,4.0,6.0,4.0,,,,
161,v4bQPw4aTW,5.0,Reject,4.5,Reject,Reject,YES,0.0,0.0,6.0,4.0,4.0,4.0,,,
162,liDUSnwUVP,5.0,Reject,0.0,Reject,Reject,YES,0.0,0.0,0.0,0.0,0.0,,,,
163,txiGUfI4yF,8.0,Reject,7.33,Accept (Poster),Accept,NO,0.0,0.0,6.0,10.0,6.0,,,,
164,wSbVv6xaRr,6.0,Reject,4.0,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,4.0,4.0,4.0,,,,
165,GiaF5cFIpI,5.0,Reject,3.5,Reject,Reject,YES,0.0,0.0,6.0,2.0,4.0,2.0,,,
166,IFCUMN8Fp1,6.0,Accept,4.5,Reject,Reject,NO,0.0,0.0,4.0,6.0,2.0,6.0,,,
167,IvG90aRAL0,3.0,Reject,4.0,Reject,Reject,YES,0.0,0.0,6.0,4.0,4.0,4.0,2.0,,
168,opU91paIvZ,6.0,Reject,3.33,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,6.0,2.0,2.0,,,,
169,N8ntZEb4Ap,5.0,Reject,2.33,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,2.0,0.0,2.0,2.0,4.0,4.0,
170,r5jxDjYeO4,6.0,Accept,4.5,Reject,Reject,NO,0.0,0.0,4.0,4.0,4.0,6.0,,,
171,OJupg4mDjS,6.0,Reject,7.0,Accept (Oral),Accept,NO,0.0,0.0,4.0,8.0,6.0,10.0,,,
172,dwgtYTuSaS,-100.0,Reject,3.0,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,4.0,2.0,2.0,4.0,,,
173,5SQo2E9Ujj,3.0,Reject,0.0,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
174,c339hUw3cy,5.0,Reject,4.0,Reject,Reject,YES,0.0,0.0,6.0,2.0,6.0,2.0,,,
175,5H8kxW0Efk,3.0,Accept,4.0,Reject,Reject,NO,0.0,0.0,6.0,4.0,2.0,,,,
176,SzXDuBN8M1,8.0,Accept,7.5,Accept (Oral),Accept,YES,0.0,0.0,8.0,8.0,6.0,8.0,,,
177,b6miYNcjag,5.0,Reject,4.67,Reject,Reject,YES,0.0,0.0,6.0,2.0,6.0,,,,
178,bhPaXhWVKG,6.0,Accept,5.33,Reject,Reject,NO,0.0,0.0,6.0,6.0,4.0,,,,
179,OuMNJoKJBQ,8.0,Accept,4.5,Accept (Poster),Accept,YES,0.0,0.0,4.0,4.0,6.0,4.0,,,
180,TBsTStMK41,5.0,Reject,4.0,Reject,Reject,YES,0.0,0.0,4.0,4.0,2.0,4.0,6.0,,
181,iaoAKDRAJQ,6.0,Accept,6.0,Accept (Poster),Accept,YES,0.0,0.0,8.0,4.0,6.0,6.0,,,
182,UESTP6dR1K,6.0,Reject,6.5,Accept (Poster),Accept,NO,0.0,0.0,6.0,6.0,6.0,8.0,,,
183,BzqkbJTsbq,5.0,Accept,3.5,Reject,Reject,NO,0.0,0.0,4.0,2.0,4.0,4.0,,,
184,j3htU5i01r,6.0,Accept,4.0,Reject,Reject,NO,0.0,0.0,2.0,2.0,8.0,4.0,,,
185,R8y089OGoo,8.0,Accept,5.0,Accept (Poster),Accept,YES,0.0,0.0,4.0,4.0,6.0,6.0,,,
186,heVn5cNfje,6.0,Accept,3.5,Reject,Reject,NO,0.0,0.0,4.0,2.0,4.0,4.0,,,
187,Q5SSA6IonA,5.0,Accept,5.0,Reject,Reject,NO,0.0,0.0,6.0,4.0,4.0,6.0,,,
188,05hNleYOcG,6.0,Reject,2.5,Accept (Poster),Accept,NO,0.0,0.0,2.0,4.0,2.0,2.0,,,
189,yBFXOZPESZ,6.0,Accept,4.0,Reject,Reject,NO,0.0,0.0,4.0,6.0,4.0,2.0,4.0,,
190,1FCZ4f8dAY,8.0,Accept,7.0,Accept (Poster),Accept,YES,0.0,0.0,10.0,4.0,8.0,6.0,,,
191,QnuJR7qA3z,3.0,Reject,4.5,Reject,Reject,YES,0.0,0.0,6.0,6.0,2.0,4.0,,,
192,Iq1fNZus2W,6.0,Accept,3.0,Withdrawn (treated as Reject),Reject,NO,0.0,0.0,2.0,2.0,4.0,4.0,,,
193,70n4clRSTj,8.0,Reject,3.5,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,2.0,2.0,8.0,2.0,,,
194,6RQsAQEUib,3.0,Reject,4.0,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,6.0,2.0,2.0,6.0,,,
195,blFpxJ3A08,3.0,Reject,1.0,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,2.0,2.0,0.0,0.0,,,
196,CQ0U1wZYoy,6.0,Accept,4.0,Accept (Poster),Accept,YES,0.0,0.0,2.0,4.0,4.0,4.0,6.0,,
197,9X2NfyZpR2,6.0,Accept,3.0,Reject,Reject,NO,0.0,0.0,2.0,4.0,2.0,4.0,,,
198,jLO4pSi5Pt,6.0,Accept,5.0,Accept (Poster),Accept,YES,0.0,0.0,4.0,6.0,4.0,6.0,,,
199,4Mvdn1m861,5.0,Reject,3.5,Reject,Reject,YES,0.0,0.0,2.0,4.0,4.0,4.0,,,
200,iDki7djO2K,5.0,Accept,4.0,Reject,Reject,NO,0.0,0.0,4.0,4.0,4.0,4.0,,,
201,ngfIm9aPsH,6.0,Accept,5.5,Accept (Poster),Accept,YES,0.0,0.0,4.0,6.0,6.0,6.0,,,
202,5DpzzTPnJZ,6.0,Accept,5.0,Accept (Poster),Accept,YES,0.0,0.0,6.0,4.0,4.0,6.0,,,
203,RDAhLHEHDm,8.0,Reject,6.5,Accept (Poster),Accept,NO,0.0,0.0,8.0,6.0,6.0,6.0,,,
204,Y9TgNFsNyP,5.0,Reject,5.5,Reject,Reject,YES,0.0,0.0,6.0,4.0,4.0,8.0,,,
205,FMjeC9Msws,8.0,Accept,7.5,Accept (Oral),Accept,YES,0.0,0.0,8.0,6.0,8.0,8.0,,,
206,Q6TymStAvS,6.0,Accept,3.5,Reject,Reject,NO,0.0,0.0,2.0,2.0,6.0,4.0,,,
207,Xpj0yeMhpz,6.0,Accept,7.0,Accept (Poster),Accept,YES,0.0,0.0,4.0,6.0,8.0,10.0,,,
208,VmEkhV2yCX,5.0,Accept,5.0,Accept (Poster),Accept,YES,0.0,0.0,4.0,4.0,6.0,6.0,,,
209,bwtiK0yjuK,8.0,Accept,5.33,Accept (Poster),Accept,YES,0.0,0.0,4.0,6.0,6.0,,,,
210,mDuTDAK6KU,6.0,Reject,4.0,Withdrawn (treated as Reject),Reject,YES,0.0,0.0,2.0,8.0,2.0,4.0,,,
